content_hash_id,cluster,cluster_name,value_proxy,growth_probability,ever_optimized,reason_code,priority_score
content_755621383922b14d,2,Fresh & Well-Linked,0.0,0.4554524652176744,0,never optimized,0.4420594662088341
content_de601e610f0cb7ed,1,Long-form Neglected,0.0,0.5616257837822417,0,never optimized,0.44205289116625407
content_d56a4de16c1e220a,0,Actively Maintained,0.0,0.44170949951519456,1,bottom-quartile predicted growth,0.44205256064690024
content_2d9914516582b681,2,Fresh & Well-Linked,0.0,0.4554966121247135,0,never optimized,0.4420302013422819
content_9a1d7c45920fb598,2,Fresh & Well-Linked,0.0,0.4554966121247135,0,never optimized,0.4420302013422819
content_d658bba9eacaf986,2,Fresh & Well-Linked,0.0,0.4554966121247135,0,never optimized,0.4420302013422819
content_9c42eb7062ff95a9,2,Fresh & Well-Linked,0.0,0.4554966121247135,0,never optimized,0.4420302013422819
content_475e31351a790147,1,Long-form Neglected,0.0,0.39371224572704244,1,bottom-quartile predicted growth,0.442029861630875
content_b0a389c069831ea8,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_95ee458ec3005b2d,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_3438beda9b9ce452,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_ab82df4e46792150,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_acdb19bc5acf6a47,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_5a324d8cfe9f140b,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_aaa19c88ca40d06b,1,Long-form Neglected,0.0,0.5616516776675833,0,never optimized,0.4420241042470302
content_19922d0c53df6cc3,0,Actively Maintained,0.0,0.4417307514250048,1,bottom-quartile predicted growth,0.4420202156334232
content_b3203018690fe6b8,1,Long-form Neglected,0.0,0.5616586300531182,0,never optimized,0.4419981960197287
content_736b0907644af7e2,1,Long-form Neglected,0.0,0.5616586300531182,0,never optimized,0.4419981960197287
content_e2bf317962c7784f,0,Actively Maintained,0.0,0.44176114641563813,1,bottom-quartile predicted growth,0.4419919137466307
content_f1bbbddaa29bce75,0,Actively Maintained,0.0,0.44176114641563813,1,bottom-quartile predicted growth,0.4419919137466307
content_48c8d601d16ec1e9,1,Long-form Neglected,0.0,0.5616741588036475,0,never optimized,0.4419895599439615
content_2feb46860ab25451,1,Long-form Neglected,0.0,0.5616880158014119,0,never optimized,0.4419838025601167
content_4dccfc323ada11e4,0,Actively Maintained,0.0,0.4417621258221607,1,bottom-quartile predicted growth,0.4419797843665768
content_59ee00f12d9f4ed3,0,Actively Maintained,0.0,0.44177346964350533,1,bottom-quartile predicted growth,0.4419716981132075
content_17575076364bf44c,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_714d85f6fb4bf02e,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_7ee7d864c7b41ef2,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_5aa896b5c3c5ad53,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
